Product URL,Product Name,Product Price,Rating,Number of Reviews
/NORTH-ZONE-Lightweight-Backpacks-Stylish/dp/B0BL3SPN16,NORTH ZONE Lightweight school bags Backpacks for Boys Girls Stylish men and women Casual Travel Laptop Bag College office,₹482,3.9 out of 5 stars,836
/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",₹679,4.0 out of 5 stars,"4,939"
/F-Gear-Burner-Art-Lthr-Laptop-Backpack/dp/B085QWJVCZ,F Gear 22 Ltrs Burner Art Lthr Brown Laptop Backpack (3343),₹870,4.4 out of 5 stars,370
/Wesley-Milestone-Waterproof-Backpack-Business/dp/B07NJRPJ6Q,Wesley Milestone 15.6 inch 25 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack (Black),₹448,4.3 out of 5 stars,"13,092"
/AirCase-C34-Laptop-Backpack-Women/dp/B07QL8633G,"AirCase Laptop Bag Backpack Case Pouch for Laptop Backpack for Men & Women,Premium Vegan Leather",₹929,4.0 out of 5 stars,"1,077"
/Gear-Vintage2-Leather-Backpack-LBPVG2LTH0201/dp/B07G4D13L7,Gear Vintage2 28L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Brown,₹987,4.4 out of 5 stars,"4,314"
/Gear-Beige-Casual-Backpack-BKPTRMP520522/dp/B00VWM11HQ,Gear Cello 26 Ltrs Navy Blue and Beige Casual Backpack (BKPTRMP520522),₹838,4.2 out of 5 stars,"5,673"
/ZAINTO-Textured-Leatherette-Stylish-Travelling/dp/B09CTY23YG,ZAINTO Unisex Textured Leatherette Stylish 35 Liter Cabin Bags for Travelling in Flight 7kg Latest Travel Textured Leather Duffle Bags for Men and Women (Brown),₹799,4.2 out of 5 stars,860
/FATMUG-Laptop-Bag-Men-Convertible/dp/B084LFS4G1,FATMUG Laptop Bag For Men - Convertible Backpack For Office And Travel (Navy Blue Oxford Fabric),"₹1,599",4.4 out of 5 stars,"2,177"
/Lavie-Sport-Duffle-Luggage-Wheeler/dp/B0992JCN1W,Lavie Sport Lino M Duffle Wheeler Bag for Travel | 2 Wheel Luggage Bag | Travel Bag with Adjustable Handle,₹749,3.8 out of 5 stars,"3,272"
/Genie-Flamenco2-Backpack-Compatible-Resistant/dp/B08YF9VHTY,Genie Flamenco2 Casual Backpacks for Women,₹729,4.3 out of 5 stars,"1,510"
/F-Gear-Blow-Laptop-Backpack/dp/B078J63VRY,"F Gear Blow Laptop Backpack With Rain Cover 32 Liters (Black,Grey) Sch Bag","₹1,099",4.3 out of 5 stars,"1,289"
/NORTH-ZONE-Waterproof-Backpack-Dimensions/dp/B0BS6QM2GD,NORTH ZONE Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L,₹630,4.0 out of 5 stars,481
/Asus-BP1504-15-6-inch-Laptop-Backpack/dp/B0895ZZHKK,Asus BP1504 39.62 cm (15.6-inch) Laptop Backpack (Dark Grey),₹819,4.2 out of 5 stars,"1,697"
/Casual-Backpack-Charging-Laptop-Compartment/dp/B07J46KLFP,"Fur Jaden 15.6 Inch Laptop Backpack 25 LTR Bag for School, College and Office with USB Charging Port",₹479,3.9 out of 5 stars,"10,302"
/MOKOBARA-Work-Backpack-Resistant-Reflection/dp/B0C9J8JJ6C,"MOKOBARA The Work Backpack - II Black Nylon Water Resistant (16"") Laptop | Work | Travel Bag for Men and Women","₹8,999",4.0 out of 5 stars,1
/AmazonBasics-Casual-Backpack-Office-15-6-inch/dp/B09W4VMZ79,AmazonBasics - Casual Backpack/Office Bag/ for a 15.6-inch Laptop,₹699,4.2 out of 5 stars,651
